2023-10-03 14:29:31 status unpacked libmount1:arm64 2.36.1-8+deb11u1
2023-10-03 14:29:31 install libsmartcols1:arm64 <none> 2.36.1-8+deb11u1
2023-10-03 14:29:31 status half-installed libsmartcols1:arm64 2.36.1-8+deb11u1
2023-10-03 14:29:31 status unpacked libsmartcols1:arm64 2.36.1-8+deb11u1
2023-10-03 14:29:31 install libuuid1:arm64 <none> 2.36.1-8+deb11u1
2023-10-03 14:29:31 status half-installed libuuid1:arm64 2.36.1-8+deb11u1
2023-10-03 14:29:31 status unpacked libuuid1:arm64 2.36.1-8+deb11u1
2023-10-03 14:29:31 install mount:arm64 <none> 2.36.1-8+deb11u1
2023-10-03 14:29:31 status half-installed mount:arm64 2.36.1-8+deb11u1
2023-10-03 14:29:31 status unpacked mount:arm64 2.36.1-8+deb11u1
2023-10-03 14:29:31 install util-linux:arm64 <none> 2.36.1-8+deb11u1
2023-10-03 14:29:31 status half-installed util-linux:arm64 2.36.1-8+deb11u1
2023-10-03 14:29:31 status unpacked util-linux:arm64 2.36.1-8+deb11u1
2023-10-03 14:29:31 install libxxhash0:arm64 <none> 0.8.0-2
2023-10-03 14:29:31 status half-installed libxxhash0:arm64 0.8.0-2
2023-10-03 14:29:31 status unpacked libxxhash0:arm64 0.8.0-2
2023-10-03 14:29:31 install liblzma5:arm64 <none> 5.2.5-2.1~deb11u1
2023-10-03 14:29:31 status half-installed liblzma5:arm64 5.2.5-2.1~deb11u1
2023-10-03 14:29:31 status unpacked liblzma5:arm64 5.2.5-2.1~deb11u1
2023-10-03 14:29:31 install zlib1g:arm64 <none> 1:1.2.11.dfsg-2+deb11u2
2023-10-03 14:29:31 status half-installed zlib1g:arm64 1:1.2.11.dfsg-2+deb11u2
2023-10-03 14:29:31 status unpacked zlib1g:arm64 1:1.2.11.dfsg-2+deb11u2
2023-10-03 14:29:31 startup packages configure
2023-10-03 14:29:31 configure lsb-base:all 11.1.0 <none>
2023-10-03 14:29:31 status unpacked lsb-base:all 11.1.0
2023-10-03 14:29:31 status half-configured lsb-base:all 11.1.0
2023-10-03 14:29:31 status installed lsb-base:all 11.1.0
2023-10-03 14:29:31 configure libtirpc-common:all 1.3.1-1+deb11u1 <none>
2023-10-03 14:29:31 status unpacked libtirpc-common:all 1.3.1-1+deb11u1
2023-10-03 14:29:31 status half-configured libtirpc-common:all 1.3.1-1+deb11u1
2023-10-03 14:29:31 status installed libtirpc-common:all 1.3.1-1+deb11u1
2023-10-03 14:29:31 configure debian-archive-keyring:all 2021.1.1+deb11u1 <none>
2023-10-03 14:29:31 status unpacked debian-archive-keyring:all 2021.1.1+deb11u1
2023-10-03 14:29:31 status half-configured debian-archive-keyring:all 2021.1.1+deb11u1
2023-10-03 14:29:31 status installed debian-archive-keyring:all 2021.1.1+deb11u1
2023-10-03 14:29:31 configure libaudit-common:all 1:3.0-2 <none>
2023-10-03 14:29:31 status unpacked libaudit-common:all 1:3.0-2
